Runyoro,English
"I don't mixsee: kujwanza, kucanganya",Tinturaniza
to accuse,Okutura
I accuse,Ntura
he/she accuses,Atura
I have accused,Ntuzire
accuse!,Tura
I don't accuse,Tintura
See: okUTUBURA,Okutunuura
I see: okutubura,Ntunuura
he/she see: okutuburas,Atunuura
I have see: okutuburaed,Ntunuuzire
see: okutubura!,Tunuura
I don't see: okutubura,Tintunuura
to have fever,Okutungura
I have fever,Ntungura
he/she have fevers,Atungura
I have have fevered,Ntunguzire
have fever!,Tungura
I don't have fever,Tintungura
to be steep,Okutungama
I be steep,Ntungama
he/she be steeps,Atungama
I have be steeped,Ntungamire
be steep!,Tungama
I don't be steep,Tintungama
to tie tightly,Okutunenga
I tie tightly,Ntunenga
he/she tie tightlies,Atunenga
I have tie tightlied,Ntunengire
tie tightly!,Tunenga
I don't tie tightly,Tintunenga
to sell. Etym: [<Luganda.okutunda>],Okutunda
I sell. etym: [<luganda.okutunda>],Ntunda
he/she sell. etym: [<luganda.okutunda>]s,Atunda
I have sell. etym: [<luganda.okutunda>]ed,Ntundire
sell. etym: [<luganda.okutunda>]!,Tunda
I don't sell. etym: [<luganda.okutunda>],Tintunda
to become fat,Okutunatuna
I become fat,Ntunatuna
he/she become fats,Atunatuna
I have become fated,Ntunatunire
become fat!,Tunatuna
I don't become fat,Tintunatuna
to move while naked,Okutumbuza
I move while naked,Ntumbuza
he/she move while nakeds,Atumbuza
I have move while nakeded,Ntumbuzire
move while naked!,Tumbuza
I don't move while naked,Tintumbuza
to swell,Okutumba
I swell,Ntumba
he/she swells,Atumba
I have swelled,Ntumbire
swell!,Tumba
I don't swell,Tintumba
See: okUTUKURA,Okutukurinkana
I see: okutukura,Ntukurinkana
he/she see: okutukuras,Atukurinkana
I have see: okutukuraed,Ntukurinkanire
see: okutukura!,Tukurinkana
I don't see: okutukura,Tintukurinkana
to be sharp,Okutugunjuka
I be sharp,Ntugunjuka
he/she be sharps,Atugunjuka
I have be sharped,Ntugunjukire
be sharp!,Tugunjuka
I don't be sharp,Tintugunjuka
to stagger,Okusibaaza
I stagger,Nsibaaza
he/she staggers,Asibaaza
I have staggered,Nsibaazire
stagger!,Sibaaza
I don't stagger,Tinsibaaza
to undertake birth control,Okusiba
I undertake birth control,Nsiba
he/she undertake birth controls,Asiba
I have undertake birth controled,Nsibire
undertake birth control!,Siba
I don't undertake birth control,Tinsiba
to plait hair,Okusiba
I plait hair,Nsiba
he/she plait hairs,Asiba
I have plait haired,Nsibire
plait hair!,Siba
I don't plait hair,Tinsiba
See: okWENIAGURIZA,Okutoroka
I see: okweniaguriza,Ntoroka
he/she see: okweniagurizas,Atoroka
I have see: okweniagurizaed,Ntorokire
see: okweniaguriza!,Toroka
I don't see: okweniaguriza,Tintoroka
to subtract from,Okutoora
I subtract from,Ntoora
he/she subtract froms,Atoora
I have subtract fromed,Ntoozire
subtract from!,Toora
I don't subtract from,Tintoora
to trap an animal,Okutoora
I trap an animal,Ntoora
he/she trap an animals,Atoora
I have trap an animaled,Ntoozire
trap an animal!,Toora
I don't trap an animal,Tintoora
to dress finely,Okutoora
I dress finely,Ntoora
he/she dress finelies,Atoora
I have dress finelied,Ntoozire
dress finely!,Toora
I don't dress finely,Tintoora
to make dry,Okutoonyoka
I make dry,Ntoonyoka
he/she make dries,Atoonyoka
I have make dried,Ntoonyokire
make dry!,Toonyoka
I don't make dry,Tintoonyoka
to drizzle: rain lightly,Okutoonyerera
I drizzle: rain lightly,Ntoonyerera
he/she drizzle: rain lightlies,Atoonyerera
I have drizzle: rain lightlied,Ntoonyerezire
drizzle: rain lightly!,Toonyerera
I don't drizzle: rain lightly,Tintoonyerera
to feel sorrow,Okutonza
I feel sorrow,Ntonza
he/she feel sorrows,Atonza
I have feel sorrowed,Ntonzire
feel sorrow!,Tonza
I don't feel sorrow,Tintonza
"to ooze, usually blood",Okutonyogoka
"I ooze, usually blood",Ntonyogoka
"he/she ooze, usually bloods",Atonyogoka
"I have ooze, usually blooded",Ntonyogokire
"ooze, usually blood!",Tonyogoka
"I don't ooze, usually blood",Tintonyogoka
See: okUTONTOMA,Okutontomera
I see: okutontoma,Ntontomera
he/she see: okutontomas,Atontomera
I have see: okutontomaed,Ntontomezire
see: okutontoma!,Tontomera
I don't see: okutontoma,Tintontomera
failure to hatch,Okutontoheza
I failure to hatch,Ntontoheza
he/she failure to hatches,Atontoheza
I have failure to hatched,Ntontohezire
failure to hatch!,Tontoheza
I don't failure to hatch,Tintontoheza
to form a foetus,Okutonda
I form a foetus,Ntonda
he/she form a foetuses,Atonda
I have form a foetused,Ntondire
form a foetus!,Tonda
I don't form a foetus,Tintonda
to dirten something,Okutokooza
I dirten something,Ntokooza
he/she dirten somethings,Atokooza
I have dirten somethinged,Ntokoozire
dirten something!,Tokooza
I don't dirten something,Tintokooza
to be understanding,Okutojoka
I be understanding,Ntojoka
he/she be understandings,Atojoka
I have be understandinged,Ntojokire
be understanding!,Tojoka
I don't be understanding,Tintojoka
to make something wet,Okutobya
I make something wet,Ntobya
he/she make something wets,Atobya
I have make something weted,Ntobyire
make something wet!,Tobya
I don't make something wet,Tintobya
See: okUTOBERA,Okutobeka
I see: okutobera,Ntobeka
he/she see: okutoberas,Atobeka
I have see: okutoberaed,Ntobekire
see: okutobera!,Tobeka
I don't see: okutobera,Tintobeka
to make a bridge,Okutinda
See: okUTIMBUURA,Okutimbuuka
I see: okutimbuura,Ntimbuuka
he/she see: okutimbuuras,Atimbuuka
I have see: okutimbuuraed,Ntimbuukire
see: okutimbuura!,Timbuuka
I don't see: okutimbuura,Tintimbuuka
to dig up holes,Okutimba
I dig up holes,Ntimba
he/she dig up holeses,Atimba
I have dig up holesed,Ntimbire
dig up holes!,Timba
I don't dig up holes,Tintimba
to shake,Okutibita
I shake,Ntibita
he/she shakes,Atibita
I have shaked,Ntibisire
shake!,Tibita
I don't shake,Tintibita
to be very soft,Okutibagana
I be very soft,Ntibagana
he/she be very softs,Atibagana
I have be very softed,Ntibaganire
be very soft!,Tibagana
I don't be very soft,Tintibagana
to fall,Okutereburuka
I fall,Ntereburuka
he/she falls,Atereburuka
I have falled,Ntereburukire
fall!,Tereburuka
I don't fall,Tintereburuka
to loose hope,Okuterebuka
I loose hope,Nterebuka
he/she loose hopes,Aterebuka
I have loose hoped,Nterebukire
loose hope!,Terebuka
I don't loose hope,Tinterebuka
to grind millet badly,Okutera-embari
I grind millet badly,Ntera-embari
he/she grind millet badlies,Atera-embari
I have grind millet badlied,Ntera-embariire
grind millet badly!,Tera-embari
I don't grind millet badly,Tintera-embari
to shake something repeatedly,Okutenzatenza
I shake something repeatedly,Ntenzatenza
he/she shake something repeatedlies,Atenzatenza
I have shake something repeatedlied,Ntenzatenzire
shake something repeatedly!,Tenzatenza
I don't shake something repeatedly,Tintenzatenza
to shake,Okutenganya
I shake,Ntenganya
he/she shakes,Atenganya
I have shaked,Ntenganyire
shake!,Tenganya
I don't shake,Tintenganya
(for kings) to sleep,Okutemba
I (for kings) to sleep,Ntemba
he/she (for kings) to sleeps,Atemba
I have (for kings) to sleeped,Ntembire
(for kings) to sleep!,Temba
I don't (for kings) to sleep,Tintemba
See: okWANZIRIRA,Okuteganguza
I see: okwanzirira,Nteganguza
he/she see: okwanziriras,Ateganguza
I have see: okwanziriraed,Nteganguzire
see: okwanzirira!,Teganguza
I don't see: okwanzirira,Tinteganguza
to listen,Okutega okutu
I listen,Ntega okutu
he/she listens,Atega okutu
I have listened,Ntega okutuire
listen!,Tega okutu
I don't listen,Tintega okutu
to be joined together,Okuteeranizibwa
I be joined together,Nteeranizibwa
he/she be joined togethers,Ateeranizibwa
I have be joined togethered,Nteeranizibwire
be joined together!,Teeranizibwa
I don't be joined together,Tinteeranizibwa
to guess. See: okUTEEBEREZA,Okuteeba
I guess. see: okuteebereza,Nteeba
he/she guess. see: okuteeberezas,Ateeba
I have guess. see: okuteeberezaed,Nteebire
guess. see: okuteebereza!,Teeba
I don't guess. see: okuteebereza,Tinteeba
to refuse something completely,Okutaraiga
I refuse something completely,Ntaraiga
he/she refuse something completelies,Ataraiga
I have refuse something completelied,Ntaraigire
refuse something completely!,Taraiga
I don't refuse something completely,Tintaraiga
to pay a fine,Okutanga
I pay a fine,Ntanga
he/she pay a fines,Atanga
I have pay a fined,Ntangire
pay a fine!,Tanga
I don't pay a fine,Tintanga
to make something horizontal,Okutandaara
I make something horizontal,Ntandaara
he/she make something horizontals,Atandaara
I have make something horizontaled,Ntandaazire
make something horizontal!,Tandaara
I don't make something horizontal,Tintandaara
See: okURYA,Okutamira
I see: okurya,Ntamira
he/she see: okuryas,Atamira
I have see: okuryaed,Ntamizire
see: okurya!,Tamira
I don't see: okurya,Tintamira
to start grinding millet,Okutamika
I start grinding millet,Ntamika
he/she start grinding millets,Atamika
I have start grinding milleted,Ntamikire
start grinding millet!,Tamika
I don't start grinding millet,Tintamika
to abuse without cause,Okutambara
I abuse without cause,Ntambara
he/she abuse without causes,Atambara
I have abuse without caused,Ntambazire
abuse without cause!,Tambara
I don't abuse without cause,Tintambara
to interfere. See:okUTAMBAARIRA,Okutamba-ikono
I interfere. see:okutambaarira,Ntamba-ikono
he/she interfere. see:okutambaariras,Atamba-ikono
I have interfere. see:okutambaariraed,Ntamba-ikonoire
interfere. see:okutambaarira!,Tamba-ikono
I don't interfere. see:okutambaarira,Tintamba-ikono
to offer sacrifice,Okutamba
I offer sacrifice,Ntamba
he/she offer sacrifices,Atamba
I have offer sacrificed,Ntambire
offer sacrifice!,Tamba
I don't offer sacrifice,Tintamba
to write without aim,Okutamaga
I write without aim,Ntamaga
he/she write without aims,Atamaga
I have write without aimed,Ntamagire
write without aim!,Tamaga
I don't write without aim,Tintamaga
to be mad temporarily,Okutabuka
I be mad temporarily,Ntabuka
he/she be mad temporarilies,Atabuka
I have be mad temporarilied,Ntabukire
be mad temporarily!,Tabuka
I don't be mad temporarily,Tintabuka
to make water dirty,Okutabangura
I make water dirty,Ntabangura
he/she make water dirties,Atabangura
I have make water dirtied,Ntabanguzire
make water dirty!,Tabangura
I don't make water dirty,Tintabangura
to scramble for something,Okutabana
I scramble for something,Ntabana
he/she scramble for somethings,Atabana
I have scramble for somethinged,Ntabanire
scramble for something!,Tabana
I don't scramble for something,Tintabana
to get spoilt,Okutabakara
I get spoilt,Ntabakara
he/she get spoilts,Atabakara
I have get spoilted,Ntabakazire
get spoilt!,Tabakara
I don't get spoilt,Tintabakara
to hurry,Okutabaguza
I hurry,Ntabaguza
he/she hurries,Atabaguza
I have hurried,Ntabaguzire
hurry!,Tabaguza
I don't hurry,Tintabaguza
to disorganise,Okutabagura
I disorganise,Ntabagura
he/she disorganises,Atabagura
I have disorganised,Ntabaguzire
disorganise!,Tabagura
I don't disorganise,Tintabagura
to go to war,Okutabaara
I go to war,Ntabaara
he/she go to wars,Atabaara
I have go to wared,Ntabaazire
go to war!,Tabaara
I don't go to war,Tintabaara
to visit,Okutaayaaya
I visit,Ntaayaaya
he/she visits,Ataayaaya
I have visited,Ntaayaayire
visit!,Taayaaya
I don't visit,Tintaayaaya
to scatter,Okutaataana
I scatter,Ntaataana
he/she scatters,Ataataana
I have scattered,Ntaataanire
scatter!,Taataana
I don't scatter,Tintaataana
See: BUTANDU,Okutaara
I see: butandu,Ntaara
he/she see: butandus,Ataara
I have see: butandued,Ntaazire
see: butandu!,Taara
I don't see: butandu,Tintaara
See: okUTAANA,Okutaanuuka
I see: okutaana,Ntaanuuka
he/she see: okutaanas,Ataanuuka
I have see: okutaanaed,Ntaanuukire
see: okutaana!,Taanuuka
I don't see: okutaana,Tintaanuuka
to enter into something,Okutaahira
I enter into something,Ntaahira
he/she enter into somethings,Ataahira
I have enter into somethinged,Ntaahizire
enter into something!,Taahira
I don't enter into something,Tintaahira
to go deep,Okutaaha
I go deep,Ntaaha
he/she go deeps,Ataaha
I have go deeped,Ntaahire
go deep!,Taaha
I don't go deep,Tintaaha
to go home,Okutaaha
I go home,Ntaaha
he/she go homes,Ataaha
I have go homed,Ntaahire
go home!,Taaha
I don't go home,Tintaaha
to tear,Okutaagura
I tear,Ntaagura
he/she tears,Ataagura
I have teared,Ntaaguzire
tear!,Taagura
I don't tear,Tintaagura
to get torn,Okutaaguka
I get torn,Ntaaguka
he/she get torns,Ataaguka
I have get torned,Ntaagukire
get torn!,Taaguka
I don't get torn,Tintaaguka
See: okUTAAGATAAGA,Okutaagiira
I see: okutaagataaga,Ntaagiira
he/she see: okutaagataagas,Ataagiira
I have see: okutaagataagaed,Ntaagiizire
see: okutaagataaga!,Taagiira
I don't see: okutaagataaga,Tintaagiira
to cry for help,Okutaaga
I cry for help,Ntaaga
he/she cry for helps,Ataaga
I have cry for helped,Ntaagire
cry for help!,Taaga
I don't cry for help,Tintaaga
to run very fast,Okusora
I run very fast,Nsora
he/she run very fasts,Asora
I have run very fasted,Nsozire
run very fast!,Sora
I don't run very fast,Tinsora
to underlook someone,Okusomooza
I underlook someone,Nsomooza
he/she underlook someones,Asomooza
I have underlook someoned,Nsomoozire
underlook someone!,Somooza
I don't underlook someone,Tinsomooza
to advise someone,Okusaha
I advise someone,Nsaha
he/she advise someones,Asaha
I have advise someoned,Nsahire
advise someone!,Saha
I don't advise someone,Tinsaha
(of rain) to stop,Okusa
I (of rain) to stop,Nsa
he/she (of rain) to stops,Asa
I have (of rain) to stoped,Nsire
(of rain) to stop!,Sa
I don't (of rain) to stop,Tinsa
to favour someone,Okusosora
I favour someone,Nsosora
he/she favour someones,Asosora
I have favour someoned,Nsosozire
favour someone!,Sosora
I don't favour someone,Tinsosora
to weed,Okusoorera
I weed,Nsoorera
he/she weeds,Asoorera
I have weeded,Nsoorezire
weed!,Soorera
I don't weed,Tinsoorera
See: okusoRA,Okusoora
I see: okusora,Nsoora
he/she see: okusoras,Asoora
I have see: okusoraed,Nsoozire
see: okusora!,Soora
I don't see: okusora,Tinsoora
See: okusokA,Okusooka
I see: okusoka,Nsooka
he/she see: okusokas,Asooka
I have see: okusokaed,Nsookire
see: okusoka!,Sooka
I don't see: okusoka,Tinsooka
to cool temperature,Okusiza
I cool temperature,Nsiza
he/she cool temperatures,Asiza
I have cool temperatured,Nsizire
cool temperature!,Siza
I don't cool temperature,Tinsiza
to pin something,Okusita
I pin something,Nsita
he/she pin somethings,Asita
I have pin somethinged,Nsisire
pin something!,Sita
I don't pin something,Tinsita
to move downwards,Okusirimuka
I move downwards,Nsirimuka
he/she move downwardses,Asirimuka
I have move downwardsed,Nsirimukire
move downwards!,Sirimuka
I don't move downwards,Tinsirimuka
to keep quiet,Okusirika
I keep quiet,Nsirika
he/she keep quiets,Asirika
I have keep quieted,Nsirikire
keep quiet!,Sirika
I don't keep quiet,Tinsirika
to wrestle,Okusiriitana
I wrestle,Nsiriitana
he/she wrestles,Asiriitana
I have wrestled,Nsiriitanire
wrestle!,Siriitana
I don't wrestle,Tinsiriitana
to run very quickly,Okusiributuka
I run very quickly,Nsiributuka
he/she run very quicklies,Asiributuka
I have run very quicklied,Nsiributukire
run very quickly!,Siributuka
I don't run very quickly,Tinsiributuka
to feel hungry,Okusiraara
I feel hungry,Nsiraara
he/she feel hungries,Asiraara
I have feel hungried,Nsiraazire
feel hungry!,Siraara
I don't feel hungry,Tinsiraara
to sit indecently,Okusinura
I sit indecently,Nsinura
he/she sit indecentlies,Asinura
I have sit indecentlied,Nsinuzire
sit indecently!,Sinura
I don't sit indecently,Tinsinura
to wake up,Okusinsimuka
I wake up,Nsinsimuka
he/she wake ups,Asinsimuka
I have wake uped,Nsinsimukire
wake up!,Sinsimuka
I don't wake up,Tinsinsimuka
See: okUSIITIRIRA,Okusingirira
I see: okusiitirira,Nsingirira
he/she see: okusiitiriras,Asingirira
I have see: okusiitiriraed,Nsingirizire
see: okusiitirira!,Singirira
I don't see: okusiitirira,Tinsingirira
to stand on toes,Okusingiisira
I stand on toes,Nsingiisira
he/she stand on toeses,Asingiisira
I have stand on toesed,Nsingiisizire
stand on toes!,Singiisira
I don't stand on toes,Tinsingiisira
to bring ill luck,Okusindirira
I bring ill luck,Nsindirira
he/she bring ill lucks,Asindirira
I have bring ill lucked,Nsindirizire
bring ill luck!,Sindirira
I don't bring ill luck,Tinsindirira
to push forward,Okusindikiriza
I push forward,Nsindikiriza
he/she push forwards,Asindikiriza
I have push forwarded,Nsindikirizire
push forward!,Sindikiriza
I don't push forward,Tinsindikiriza
to fall on something,Okusindama
I fall on something,Nsindama
he/she fall on somethings,Asindama
I have fall on somethinged,Nsindamire
fall on something!,Sindama
I don't fall on something,Tinsindama
to control running stool,Okusina
I control running stool,Nsina
he/she control running stools,Asina
I have control running stooled,Nsinire
control running stool!,Sina
I don't control running stool,Tinsina
to lift the foot,Okusimbuza
I lift the foot,Nsimbuza
he/she lift the foots,Asimbuza
I have lift the footed,Nsimbuzire
lift the foot!,Simbuza
I don't lift the foot,Tinsimbuza
to stand stiff,Okusimbarara
I stand stiff,Nsimbarara
he/she stand stiffs,Asimbarara
I have stand stiffed,Nsimbarazire
stand stiff!,Simbarara
I don't stand stiff,Tinsimbarara
to be smart,Okusimantura
I be smart,Nsimantura
he/she be smarts,Asimantura
I have be smarted,Nsimantuzire
be smart!,Simantura
I don't be smart,Tinsimantura
to slide off,Okusimaatuka
I slide off,Nsimaatuka
he/she slide offs,Asimaatuka
I have slide offed,Nsimaatukire
slide off!,Simaatuka
I don't slide off,Tinsimaatuka
to be abusive,Okusikora
I be abusive,Nsikora
he/she be abusives,Asikora
I have be abusived,Nsikozire
be abusive!,Sikora
I don't be abusive,Tinsikora
to beg persistently,Okusikora
I beg persistently,Nsikora
he/she beg persistentlies,Asikora
I have beg persistentlied,Nsikozire
beg persistently!,Sikora
I don't beg persistently,Tinsikora
to bring ill luck,Okusikirira
I bring ill luck,Nsikirira
he/she bring ill lucks,Asikirira
I have bring ill lucked,Nsikirizire
bring ill luck!,Sikirira
