enkura	Rhinoceros
teodcbeka	To in put a position, difficult give an impossible task
ebyebu	Corner of cloth, skins
tokeerra	Pr. 2,, abagizansoni obu baba nibalya abantu tibabatokeerra, no noise should be made by other people when in-laws are eating. Toko, e-, n. Cl., loud talking, shouting, clamour
burangura	Opthalmia,trachoma
kihinguraniza	Something done excessively
ebigambo ebi bitebiibwe abahuliirege orubazo rwe	The news was told by those who listened his/her to talk
bwanamukuru	A parish priest
buraira	Length, height
teruurra	To give (milk, coffee berries)
akataama	Small sheep
esusure	Type of yellow bananas
ekihoihorya	Butterfly
temburuka	To come down, descend, get out of bed
ekibiriza	Boiled meat
arukwiragura	Black, black person
Bukristaayo	Christianity
Egama	To starve
ekitebe ky'abalimi	Cooperative
eraama	:spots
abalimi bakozesa okusesira ebirimwa amaizi omumisiri yabo	The farmers use irrigation to water their fields
ekitaka	A clod
ebyata-muzinga	Honey-eating animals
engamba	Shell spoon,sea shell
jurru	Adv., with intensive lazy, very lazy person
ekyose	Hair bracelet
ibanja lye akalitongera omwaka gwo11a	He/she spent the whole year dunning him for payment of his/her debt
obusumi butaito	Shortest period of times
engona	Slime on stagnant water
amatandiiko	Harness, saddle
ebifu kyenda	Very greedy persons
ajugumiire kwikara omumbeho atajwaire kooti; embeho emujugumize	He/ sheshivered because he/shestayed in the cold without a coat; Cold has made him/her shiver
cwanganisikaniza	Cross a path
omuwendo gw'ebicooli gugezire haiguru	The price of maize has gone up
butwa	Poison
ebikayaabu	Salted fishes
Emyekuniko	Pride, arrogance, quietness unnecessary
jaruka	To be lively intoxicated)
bunyigitiro	Foreg
empairimi	Male dog
eyagura	To scratch oneself
ensekere	Sty (in eye)
obwisikina	Hiccups
nooha ayafaahonganisize abantu abo; ira kabataafahongaana? enju ye efaakaire kundi	Who have made those people care for each other, they never so did in the past; His house looks very untidy
okuriisa ente za'mata kireta sente omumaka	Dairy farming provides income for families
juruguuta	To thrust, prod repeatedly (as when killing an animal).
ekituzi	Mushroom:a large size mushroom
burlisizo	Pasture
Endagalika	Odd one, fallen thing
tyokora	To remove with a (usu., finger butter ghee, Vaseline). '
funuura	To masturbate, back foreskin push of penis
ekijeerre kijaarra hamunwa gw 'ekiina kyakyo	A cricket will make a jarring noise at the mouth of its hole
teruka	To mock, disparagingly of (a benefactor)
enzaarwa	native, Home-born, original
teba	Prepare a cut a pipe stem and fit it into the bowl
ekiijukyo	A remembrance memorial
toina mbere oratambikiriza amagun1, Omwanya oikaliremu mufunda	, you have not enough space where to stridey our legs
amagezi	Wisdom
ebiigaana	Shallow pools
tundubara	To swell in water
ekicooli	Maize
emparra	Kind of locust
ebyesweko	Covering, blanket, sheets
byahi	mats, child's bedding
tabiza	To bring trouble on, get (another) into trouble
embumbatizi	hen, Sitting broody hen
ekisengiijo	Filter
bugole	Wedding
bbwarruza	Crunch, snap
eryanda	A dry cell
ebihihi	Cold, dull weathers
obu arubata ekihooya kye kitonokora; tonokya toooyeerra akatonokoorra omu111uhanda naagya omwirwarro	When he/she walks arouses he/she pain in his/her sore; He/she aroused pain in his/ her sore as he/she went to hospital
enkungani	Strife, quarrel
bworoozi	Guardianshjp
terura	Rr
akamutumiririza kutagira mwana ondi ow'okutuma	He/she kept on sending him/her due to lack of another child to send
enyaanya bakaiteekera abaguzi	They put tomatoes in heaps buyers for
ekijogojogo	A snail shell
Egiza	To pretend
ekondo	Coronets
cikinya	Be tidy, neat, quiet
ebisensero	Entrance: a posterior
tungikiirra	To put on the top of
bunyansi	Grass
Ebiijagura	To belch
byokera	To attack
juumura	To tum way right up; come to the help of;
ensoha	Clay water pots
buraiha	Height
ekiijongo	A crater lake
omuhiiha tigufubasire kurungi hakyanzi; omukazi onu emihiiha ye tagifubasa kurungi habyanzi	The lid is not holding tightly on the wooden milk vessel; This woman does not see to it that the lids do fubeera fukumura bold tightly on the wooden milk vessel
ente kukufuhira neekuseruza obulemu	If a snorts cow at you it is a sign of challenging you for a fight
ekikumu	Toe or finger
bigesero	Stubble, straw
tagangara	To be puzzled, distracted, stumble
bisokoro	Leaves of young beans
beene	Relative
kusemererwa	To be joyfu
empirima	Double edged sword, dagger
teodcbeka	To put in a difficult position, give an impossible task
tenta	To roll
Ehinguliriza	To surround, go round
ebigango	Room for catechism classeses
Emyerande	Potatoes uprooted from runners
enjoka	Snake; internal pains
ebikugizo	Title of honours
akakule; I.akakwazo; t. akairimira; t. amabega; /. ekiikoohe; t. ekikule; t. ensibo; t. amasa; t. oburaro; /. omuku; t. omusindo; t.orubugo; t. orujali; t. oruhi; 1. orunyege; t. omuhanda; t.enkaito	Laugh loudly; Burst out laugrung; Run very fast, tum a somersault; Tum the back on; Sigh (when tired); Blow a born; Remould an old pot; Beat the air; Make a bridge; Bellow (bull), shut; Stamp the foot; Make a barkcloth; Make merry; T. Empi, slap, hit with flat of band; Dance; Make a journey; Polish shoes
teereerra	Lo stir enjoin, up urge
akamutuma kumutabaliirra egaali ye; akamusaba kumutabaaliza ebintu bye	He/she sent him to pick bis bicycle; He requested him/her to join him/her fetch his/her things
akaveera	:plastic sheeting
kuhikiriza	To fulfill
akantamira nve; orugambo obu obazaaho kubi mugenzi waawe omutamisa abantu; akatamwa buli muntu	Be/she makes me disgusted because of rumour mongering; If you spek iU of your neighbour you make people be weary of him/her; Every one gets sick of him/her
byomu	Oneness, unity
bucwangya	Deceit,fraud
erozaroza	To pretend to search
ekiganyiro	Forgiveness
bukerembe	Infancy
Endigito	Sound of running footsteps
tambikiza	Pr. Of c. Form, tambikiriza, ku-, oku-
abaana be babiri akabafiisiza Kyaka	She lost her two children Kyaka. in
kutunda aheru yihanga	Export
Ehenya	To search diligently
ebitakuri	Sweet potatoes
esuuka	Bed sheets
akalenge	Thin leg
esahani	Palates
amajabali	Frayed, jagged edges
timba	Scoop, to dig with stick, decorate with flowers and coloured cloth
akataagira owanyina kwija kumuJunira, baitu yasangwa ataroho	He/she appealed to his/her brother to come to his/her rescue, but she/she was not around
empiigani	Enmity, persecution
Efaafaaniza	To be dirty,
teeka	place upright
Emyehaahiro	Boasting, selfishness
Eryato likadikira abakaba bafirumu boona baatokomera omunyanja; ayayokeze enju ye nuwe yagondeze okutokomya ebintu bye; ebintu by'abantu bikira okutokomebwa omu11rro rundi enyanja	A boat capsized and all the people aboard it perished in the sea; He/she that burnt bis/ her house was the one who wanted to have his property destroyed; Eating of millet meal so that others can also eat
amajooba	Red stitching, embroidery
enseiso	Upper grinding stone
Egarukamu	To repent, reconcile
ebikaragwe	Tree species
kwasama	To open (of mouth)
empwerwa	Utterly destitute person
enyugunyu	Pelvic bones
fundaana	To be crowded together, be stifled, be
abanyabuzale	Relatives
ekisabiko	Herbal purgative
butiime	Minced meat
byeoda	Entrails
enondwa	Tree with edible fruit
ebyenju akaba aba/eetiire bikatugunjukira omunsahu	The ripe banana he/she had brought them were squashed in the sack in which they were packed
obumaganda	Tangerines
fubeerra	To slow down, be dismayed, draw back, slacken speed
juba	lately. Adv., J uba, ku-, oku-, v.i.•
bikaiko	Food without salt
enkaka	Heart-burn, anthrax
obu haizire ibura ly 'emikubi abantu batwnbikaga ebitooke hakisura nmdi ha kaamurali enyakuseeriilwemu ekisura	When relish was in scarce(sauce), one would plantain dip into salt with ground pepper
jagajaga	To walk stiffly, awkwardly
ebirenge	Hoof, foots
abadoma	Stupid persons
enzibira-busa	A cartapillas cacoon
enkuya	Large ape
teekura	To take off, displace, remove
empiigi	Hunting dog
ekiihe	Severe famine
bbani/oruhu	Buffalo hide
toorwa	To be lewd, lascivious
ekigurukano	Occasionally; not often
tontera	Dive down,
tunama	show To through (e.g. Bones through flesh), protrude
jabajabura	pull to pieces, pull out threads
butale	Iron ore
ebibwegura	Small caterpillars
bikuti	Middle husk of millet
enkerebe	Dog-faced ape, baboon
ebicwanta	Saliva
amasya	Burns
ebigiiko	Spoons
akahumuza	A comma
akaikaarra omukiikaro ekirukutonywamu amaizi gobwiriza; ekisisi ekinimu akah11r11 kitonyesa amaizi; amaizi nigasobora kuba nigatoonyesebwa akahuru akataigaliirwege	Gaamutoonyera, he/she sat in a place where water from the grass thatch roof was dripping and it dripped on him/ her; A caJabash which bas a hole in it makes the water in it drip; The water could be dripping from a hole that was left unblocked
obujaiko	Passion for roamings
ekireere	banana Dry fibres
ezinda	To destroy oneself
ebyokuhonga	Offerings
omuhiigi obu abona enyamaiswa ataisura embwa ze kugihambya; ayataisuliire abagenzi embwa ze bakamutaho omusango; omunyankomo ataisw1n11e	When a sights an animal, he releases his dogs to chase it; The man who released dogs to travellers was charged with a criminal case; The prisoner has been released. -taito, adj. Small, little, tinny, few, =ke
dakitaali/omufumu	Doctor
boyera	To quarrel with, attack
na numtu w 'okumwekambisa kukora emirimo; omunlu kwikara omukitabu abyamire esaaha zoona kimuterebeza; ogu obugara	He/ she became indolent because did be/she not have anyone to encourage him/her to Keeping work; in bed all the time makes one indolent; Laziness made indolent him/her
emboyi	Bully, tyrant
ebiziba	Valley dam or ponds
embibo kuruga mukitebe	We buy seeds from the cooperative
jega	To be loosely tied:
empotole	Undiluted sweet banana juice
ekyange	Mine
enkwatirizi	Careful,deliberate, economical person
ebihaburo	Pieces of advice
ekirego	A secret accusation
jaagura	To beat, dig on the surface.
juamilcinna	To invert on the top of, cover with inverted vessel. Juumu kura, ku-, oku-, v.rr
enjuba	Blood pudding
akasirimuko	Slope, descent
basingo	Courtier or fort-dweller, attendant
bihaarro	only inpl.fonn)
akajunde	Stench: an unpleasant smell
obugoba	Win in a games
ebitime	Small of piece meats
ebifu kyenda	Very persons greedy
embwa bakagitukira busa ngu ebwagwire obwana mukaaga kamu yaka/ya	People defamatorily ran down the bitch to say that it gave birth to puppies six ate and up one
akaba naatwana; bakamutulingikisa om11guha gw 'obugoigo	Bamuboha bam111ulingika, he/she was fighting and consequentely they tied him/her firmly; They tied him/ her firmly with a rope made of sisal
foobera	Of a soft thing, to be easily compressed, fall in and upward when pressed
tutubara	To swell when soaked
obujoogo	Contempts
bakamusiima habw 'okujanjaba Isebo akamujanjabira ameezi mukaaga; tiinyina w'okunjanjabisa omurwaire onu; akajanjabwa mukazi we	They thanked her for attending to their father, She cared for him for six months; I do not have anyone to help me with the care for this patient; He/she was cared by his wife
bwihulebwona	Stinging centipede
bwo	It, itself, they, themselves
engabi	Bushbuck
tilniirra	To leave in the lurch
ekooko	Cocoa fruit
akanywanisa	: hyphen
ebirimi	Flames fires
kirungi	Bleached calico (best quality)
cuukun	Wean
akanywero	:a very cloth tight
ekinyege kyange nyamutaba kyantaba enkinzo batabisa omukeeka bagyeta orukato	My rattle the gatherer has caused misunderstandings between me and the neighbours; The needle they use to weave the mat is called orukato, pass. Form, tabwa, ku-, oku-
ekisuzi	Wildcat, bed bug
juoga	To squeeze ju ice out of (plantains, etc.)
enjabule	Cropped ears
jegejege	Loosely
ekyasa	Century: a hundred years
-aminah ataaguka muno	-aminah laughs loudly.
ebipande	Reading sheet, notice, cards
ebyambu	Rivers
eteega	To gird oneself
endyakiro	Mouse
birika	Snow
izooba litujweriire; Ruhanga af wisa omusana	The sun has shone upon us; Omuf ungi ajwisa ensande, God causes the sun to shine, a plantain treader causes juice to flow from plantains
entondo	Small type of grasshopper
kwihamu ebisaka ebtakwetagibya mumusiri	Weeding removes unwanted plants
ebizaaiiiro/ ekisaaru	Swamp, stream, rivers
bimwemwe	Smile
buganjani	Forch
buuta	Very feeble person; idiot
amatanga/ebiraka	Patches
akarumanfuuzi	Tiny biting fly
omubiri gwe gukaba nigumufurutira Kampala, obu yaizire Tooro gwaleka	body His/her used to swell while he/she was in Kampala, when he/ she returned to tt Tooro stopped
tura	To lay to the charge of
enkali	Urine
ekikoco	An old emanciated cow
ekikaragwe	A tree specie
tengeetera	: be (as fromage).abcm111 tibalyanabakobaabo habw ·ok1111111a kutengeetera, people do not eat with their sons in-law for of getting a shaking disease
ebirwaniso	Weapons
funuura	To masturbate, push back foreskin of penis
tumbisa	Cause to rise
tyaguza	To stride along with springy step, walk with a spear, etc. (esp. A short person) in a warlike spirit
ebirego	Rumours
akasirimuko	:a sloppy place
biihabiiha	To entice, seduce
ekidomora	Jerrycan
jaagya	To strut about conceitedly, spread, do to excess
omubwire afuukeerra bw 'embeho; abatabani bakamufuruurra Mwenge	He/she breathes with diffculty during the cold season; His/her helped sons him/her migrate to Mwenge
concoboza	To become destitute
taba	To be many coloured
amafaranga	:Rwandese currency
ebigwara	Occasionally; not oftens
tabura	To stir up, mix, miss, fail to hit, save,
ejoora	Roll ofcloth
Weewe weza	Thou! You there! Right you are, that was the truth
ebyenju ebyengere muno bitunaa amaarwa	Plantains that are too ripe make the beer sour, pass. Of c. Form, turuzibwa, ku-, oku-
esigo	Seed
ekikorongezo	A torch
tengeerra	To exclaim, exaggerate, overpraise (supposed to bring bad luck), obantu abandi obu bakora ekintu kinmgi tibagonza kubatengeerra, some people do not want to be over praised when do something good
jaata	To be sodden (millet flour), be clumsy, be worthless
ebyaro	Village, estates
ebisirya	Calabash, gourds
biko	Leaves of omuko tree
dimunadimu	Seldom
omugusa tiguhura ekyanda	Sorghum is drought resistant
ensombi	Mud-fish
jwabira	To be smeared all over
ibanja lye akalitongera omwaka gwo11a	He/she spent the whole dunning year him for payment of his/her debt
eri	Which
engondo	Cuts on the body
ekihinzi bakakimutuliirra omubugenyi	They infected him/her with flu while at the party
embwakazi	Bitch: a female dog
ezikeere	Pelican
akasolya	of Tip a roof
cumbagira	To limp
allah	:God in Islamic religion
teerra	To be be slippery, smooth, slide, glide
atamiire amaanva g 'ebitooke; amaarwa tibagatamiirra buko	He is drunk banana of People wine; do not get drunk at the home their of in-laws
ekikoori	Eye blow
akaburyo	Hillock: small hill
ensengo	Fetters
orugoye rwe rukataamukira omukizaaniro	Her/his cloth was tom while they were inthe playing play ground
akamunyegeerra habw 'okumutaaguurra orugoyerwe; ekiniga kikamutaaguza ebbaruha ezi akaba amuhandiikiire	He/she accusedhim/her for tearing his/her cloth; Indignation caused to tear the letters he had written to her
