muhogo	throat
abalimi betoimbaita habwemihendo hansi	farmers call for low prices
ebitooke buli wiiki	weekly
embibo kuruga mukitebe	the road to the headquarters
ahanyima	in the back
obusumi butaito	the small intestine
ebyeeya	toothbrushes
ebyeeya	toothbrushes
obuhuna	fatigue
eminya	name
akabubi	the danger
akacancabari	uncomfortable
ebitengo	costs
edebe	see also
obugenda-buhiire	uncertainty
amiirra	steep
obunyuunyarume	sluggishness
akanywero	drinking
akarungi	good
ebirungi	good
akasirimuko	the nightingale
obusirimuko	tooth decay
amabere ge'mbwa	the breast of a dog
nangwa	not
obuniini	height
ebika byo'butuzi	the type of flower
oburumanfuuzi	unreasonableness
obuti bwisoke	a tree that grows
akasolya	roof
obutiiko	group
amajabali	rocks
amanogo	small
amanogo	small
kwana	sleep
anjuka	he/she/it is recovering
anjura	he/she/it opened
kujokoza	coughing
kuhonda	weakness
kwata mungaro	holding a hand
kulima mporampora	cultivation of potatoes
embalira	accounting
kusemererwa	happiness
bbaamya	to bear witness
bbanura	to explain
bihaarro	other
bikuti	white
birerya	food
birezi	snow
birezi	snow
boba	are they
kunyeta	tiredness
boigora	they struggle
bonekera	appearance
boobeera	they live
boyera	white
buculeezi	coughing
bugabuga	city
bugumangani	uncertainty
bubudamo	shelter
buhango	the tradition
bujune	to move
bumbu ruka	flower
bunda arra	common
butandwa	to spread
butika	to lie down
buurru	coldness
buuta	throw away
bwegendereza	be cautious
bwesumbo	pride
bwomeezi	health
bwotere	to be
byahi	what
byakeeri	toothbrushes
bibiri n'emu	two and one
bbooda-booda	a little bit
bugendandara	traveling
bwa busi nseeri	as an insect
bwanamukuru	mother-in-law
bwatu	our
bwatu	our
kubunga buli	to combine each
candakaarra	I can't
cencebura	and
cumuka	wake up
ente ekuru,omukazi mukuru	a bull, an old woman
cwekanira	be self-sufficient
dyaka	again
dinga	other
doma	area
duduma	flower
dundumuka	run away
dara	not
doboro	may be
doi doi	What to do
doi doi	What to do
ebifu kyenda	nine dead
ekisaniko	the scallop
ebisaniko	examples
ebigere	feet
ebihohe	toothbrushes
ekiijukyo	the Memorial
ebiina	ferns
ekijinja	a stone
ekijoojo	diarrhoea
ebijoojo	diarrhoea
ekikaari	what is it
ebikaari	what is it?
empaka	the controversy
empambo	a rhetorical
empeese/enfuka empyaka	a new pair of shoes
enkorro	the tortoise
enkwato	shoes
ensaija	spinach
ensemere	smallpox
ensandaigo	the kidney
ensese	a sense of humor
ensibago	flower
ensibyemu	toothbrush
enteekateeka	a plan
ensolima	elephants
entembarusaka	anthrax
ensundi	the spotted owl
erooro	the word
eruusi	rhubarb
enyuguta	to swallow
enzaarwa	born
enziika	a funeral
eriigenda	going away
esusure	to look at
ezi	these
ebikangi	many
ebikayaabu	disadvantages
ekikumu	a spider
ebitime	cuttlefish
ebitoga	weights
ensoha	elephants
ekitentere	softness
ebitereza	the eyebrows
ebyasa	centuries
ebiyengo	swelling
ebituzi	wells
ebyokoora	what you do
ebyezigolezo	examples
ebyesomeko	reading material
eraoga	it is
erora/kugezesa	see/test
erabura	black
esiga	a shrub
esimba	flower
kwimukya obusungu	extinguish anger
esorooza	isocyanate
etendebeka	low
etembeeka	weakness
esweka	to hide
esuusa	to replace
esokoora	which is
eturumbwijura	weighing
eyongosa	slowing down
etooliikn	atoll
ebinyaanyindo	the nostrils
ekirahure	a mirror
ebisosonkoro	toothbrushes
ekihika	family
ekigugu	weight
ebingoleka	signs and symptoms
ebikunya	canker sores
ekinuuko	the sternum
ekimeeri	ship
ekibindi	the potty
ebibwegurra	what to buy
omukonko	cough
ekibbaali	a knife
ekiranga	the cause
ekiramukyo	the caterpillar
ebipande	signs
ekirandakwata	what will happen to me
ekirale	the sternum
ekireere	the cloud
embumbatizi	baptism
emburara	sleeping
embuzi	goat
emitalibaine	toothbrushes
emitumanyuma	the back
empooza	the frog
empotole	coughing
empuule	breathing
empuule	breathing
ebitanga	common names
ebyobutegeki	unorganized
ebirimi	languages
ekisagiko	the coat
ebisensero	sponges
ekisinjo	smallpox
ebisinjo	mosquitoes
ekisutama-hamwe	what's the problem?
ekisambizo ekisanuruzo	an explanatory footnote
ekisoma	what you are reading
ebisoma	what you read
ebitaraariire	unexpected
ekisoonante	the consonant
ebisoonante	tooth decay
ekitanakya	before
ekisusu	the skin
endyanga	food
engambo	gossip
engonero	signs
engoto	toothbrush
engiga	the tongue
engona	the crocodile
engondo	swallow
engundizi	flower
enjwaranna	the hand
enkamba-be	camping
entoijo	the future
entandikiro	the beginning
entoole	surrounding area
entoole	surrounding area
enyama	meat
entuutu	toothpick
Ebiihabiiha	The Dangers
Efoora	The Fountain
egaa rraamu,	and the fruit of the womb,
Ebeteka	The Places
ebin ga	not
ecundacu nda,	the back of the neck,
Efaafaaniza	The Parable
Egemuliza	What is it?
Egemuliza	What is it?
Ebengeka	Fragments
Ehingahingisa	The Pursuit of Happiness
Egema	The test
Egoora	Selfishness
Ehemura	Hemorrhoids
Ehonga	Flowers
Ekingira	The entrance
Emanyisa	Warning
Ena	Four
Eraga	It shows
Ekuliiriza	It makes you feel guilty
Ekuma	The Iron
Emyekuniko	Cockroaches
Endagalika	The Scream
Endahiro	A vow
Encuro	The Encouragement
fa	where
fa	where
kukaba kufaabbiina kw 'amani kwija kumara enju enu; Mugume akaba nafaabbiinisibwa enju ye obu yahoire yahuumura	If a storm comes and destroys your house, keep your house clean.
kukaba kufaabbiina kw 'amani kwija kumara enju enu; Mugume akaba nafaabbiinisibwa enju ye obu yahoire yahuumura	If a storm comes and destroys your house, keep your house clean.
akafaafaanira mukyaro; akakira muno kufaafaanizibwa obulemu	a person with a disability; a person with a disability
nooha ayafaahonganisize abantu abo; ira kabataafahongaana? enju ye efaakaire kundi	Who has caused these people to stumble, that they should not stumble?
faakuuza	to ask
abaana be babiri akabafiisiza Kyaka	lost her two children
omupiira motoka gukafootookera omukiikaro ekibi	a car rolls into a bad spot
-amabingo bakozeseze ekiaali bakagafoobera kukikozesa kurungi.	-they use what they used to use and use it well.
fooka	the fox
endagu ifubire	wheat
fuba	try
-amata agafiire kunangwa gayine	-dead milk
omuhiiha tigufubasire kurungi hakyanzi; omukazi onu emihiiha ye tagifubasa kurungi	a man does not behave well in public; a woman whose behaviour does not behave well
fubika	cover
bintu bibiri ebi abakazi bakira kufubikisa abaana baabo	the two things that mothers do best for their babies
bintu bibiri abakazi ebi bakira kufubikisa abaana baabo	two things mothers do better than breastfeeding their babies
omuheesi aheesa n'omwojo ow'okumufutiraira omujuba; omujuba bagufugusa orulw orubohwa hankero yagwo	The sun shines on the prisoner and the child; the sun shines on the prisoner and the child shines on the prisoner.
akaba naagya kwoga akabanza kugafukya	he would go to the bathroom and wash it first
amaizi akaba naagya kwoga akabanza kugafukya	water used for bathing
akaswerwa amabeere nigafukama kugwa	the baby's breasts are falling
fukumuka	get up
nambere hataabaga nguudo abaana abaazindukaga, baafumbaga orume buli nyekya	Even before the streets were cleared, the children who woke up were cooking rice every morning
nambere nguudo hataabaga abaana abaazindukaga, baafumbaga orume buli nyekya	on the side of the street where there are no children who wake up, they cooked rice every morning
fumbagiriza	make a statement
fumbagiriza	make a statement
fundaana	love one another
/.omaiso	/. eyes
fundukura	summary
ky 'akohiecupa yo sooda kugifundukuzo amaino	what do you use your soda bottle for tooth brushing
funduza	fiddle
omwana afundwize kuturuka	the child is learning to walk
funuura	explain
funuura	explain
funya	to find
-oyine kufunya esatii oli omukukora	- you have to get a job
kubaho ayisomero	to attend school
tikihikire omuntu kufurafuurra omubantu	it's not right for a person to look down on someone
-Ebigambo bye bakabifurungura tinukwo yabigambire,ati.	- The words that the tinko said, he said.
furuuta	more than
omubiri gwe gukaba nigumufurutira Kampala, obu yaizire Tooro gwaleka	his body is still swelling in Kampala, when he came to Tooro he left
akaba nafutana omubazi gwa akaana ke	she was wearing her baby's bracelet
ente kukufuhira neekuseruza obulemu	cattle cattle cattle cattle cattle cattle cattle cattle cattle cattle cattle cattle cattle cattle cattle cattle cattle cattle cattle cattle cattle cattle cattle cattle cattle cattle cattle cattle cattle cattle cattle cattle cattle cattle cattle cattle cattle cattle cattle cattle cattle cattle cattle cattle cattle cattle cattle cattle cattle cattle
ente buli neekuseruza obulemu	cattle each carrying a disabled
-nakufuuhira musijaa wee.	- I made you a hero.
fuuhya	warmth
amaarwa g 'ebitooke gafuukira omubisisi; ekifaukisa amaanva nubwo obutagasi gakyali obugatunga omukiina	the leaves of the pomegranate turn to moss; the leafy vegetable, although unripe, still produces moisture
omubwire afuukeerra bw 'embeho; abatabani bakamufuruurra Mwenge	tell him to be cool as the wind; the boys will give him wine
afuukeerra omubwire bw 'embeho; abatabani bakamufuruurra Mwenge	The wind blows, the children drink wine.
fuutafuutiika	to be unstable
jaallima	cultivated
kujaakaara kw 'endwara 'omunywereerro y kurogiirra ha bantu kuhuurra kwanga ebirukwegesibwa hali yo; emibu ejaakaaza omuswija; omunywereerro gujaalcaazibwa okuteesigangana kw'abarukugonzangana	an epidemic of drunkenness in which people hate what they hear about it; worms that infect the drinker; drunkenness is the result of mistrust between lovers
jabagira	to be remembered
jabajabura	exaggerated
jabajabura	exaggerated
jabanganiza	be reasonable
abasaija abagira engeso y 'okubajabuurra enjara obu eba ebali kubi; amujabwize ebyokulya bitakahiire	men who are accustomed to "give him food when he is hungry; give him food when he is thirsty"
naaganya kujagajagira omubantu	I don't like to gossip
naaganya kujagajagira omubantu	I don't like to gossip
jagaraza	be careful
jagaraza	be careful
jaika	be happy
omuguwiraro ajanjaarra omubantu abamumanyire; omuntu aina obmwaire obukutuurra ayerinda kubujanjaaza omu bagenzi be	a person with a hearing impairment seeks help from people he knows; a person with a hearing impairment avoids seeking help from others
omuguwiraro ajanjaarra omubantu abamumanyire; omuntu aina obmwaire obukutuurra ayerinda omu bagenzi be	a person with a hearing impairment seeks out people who know him; a person with a hearing impairment seeks out others
janjaba	flower
bakamusiima habw Isebo akamujanjabira ameezi mukaaga; tiinyina muntu w'okunjanjabisa omurwaire onu; akajanjabwa mukazi	She praised her father for treating her for six months. There was no one to cure her.
bakamusiima habw 'okujanjaba Isebo akamujanjabira ameezi mukaaga; tiinyina w'okunjanjabisa omurwaire onu; akajanjabwa mukazi we	he was praised for treating Isebo for six months; there was no one to treat the patient; he was treated by his wife
jarabanga	to see
jaruka	run away
jaruka	run away
oburwaire yarwaire nubwo	illness
akabatanga kujejegulirwa ye omuka	a house that is often overcrowded
jogomora	shrinkage
jonjogorwa	being rescued
jonjogorwa	being rescued
jonjoora	to get married
juba	to hurry
juba	to hurry
omuntu obu alWara omukanwa bamuha omubazi gw'okujubata	A mouth guard is a device that is used to hold a person's mouth open
omuntu obu alWara omukanwa bamuha omubazi gw'okujubata	A mouth guard is a device that is used to hold a person's mouth open
jubura	rain
ajugumiire omumbeho kwikara atajwaire kooti; embeho emujugumize	sitting without a coat; shaking in the cold
ajugumiire kwikara omumbeho atajwaire kooti; embeho emujugumize	hastening to sit in the cold without a coat; shaking in the cold
jumbika	clutch
niinyija kukujumbuurra etaaba esaarra;	I will bring you out of the hand of your enemies;
jumbuza	to ask
abaana baahanwaga okutajumbulizaaga omumaka g 'abandi	children were taught not to break into other people's homes
ente ejumiirra omwana gwayo; ekijumiza ente nukwo okutarora omwana gwayo omumaiso	A cow eats her calf; the glory of a cow is not to see her calf face to face
ataina w 'okumujunira tarwanira mu baingi; akamujunisa amaani ge; omuntu ajunwa obu atwara Yesu kuba Mukama we kandi mujuni we	he who has no one to save him does not rely on many; he saves by his own power; he is saved when he accepts Jesus as his Lord and Savior
ataina w 'okumujunira tarwanira mu baingi; akamujunisa amaani ge; omuntu ajunwa obu atwara Yesu kuba Mukama kandi mujuni we	he who has no salvation is not saved by many, but is saved by his own power. He who acknowledges Jesus as his Lord and Savior is saved
noojunaanwa omusango gw 'okwemereza motoka omukiikaro ekitaikiriziibwe	you will be charged with 'taking an unauthorized seat'
ebijuma ebijunzire tibiriibwa; ebyenju bikajundira omuly ahuurro; obugoigo; ebihimba bye kuteerwa enjura	dried fruits are not eaten; dried leaves are eaten; dried fruits are eaten; dried fruits are eaten; dried fruits are eaten; dried fruits are eaten; dried fruits are eaten; dried fruits are eaten; dried fruits are eaten; dried fruits are eaten; dried fruits are eaten; dried fruits are eaten; dried fruits are eaten; dried fruits are eaten; dried fruits are eaten; dried fruits are eaten; dried fruits are eaten; dried fruits are eaten; dried fruits are eaten; dried fruits are eaten; dried fruits are eaten; dried fruits are eaten; dried fruits are eaten; dried fruits are eaten; dried fruits are eaten; dried fruits are eaten; dried fruits are eaten
